"Yaş","Gelir","Harcamalar","Kredi_Skoru","İnternet_Aboneliği","Yorum","Puan"
32,78889,16993,669,14,"Harika ürünler!",702
42,75510,34313,670,6,"Hizmet çok iyi, teşekkürler.",899
47,32881,36930,730,5,"Beklediğimden daha iyi.",526
31,75913,36349,648,23,"Ürünler kaliteli, ama fiyatlar yüksek.",527
24,95037,33095,620,5,"Ürünler kaliteli, ama fiyatlar yüksek.",309
34,92457,21946,735,4,"Hizmet çok iyi, teşekkürler.",638
61,65343,13991,663,21,"Yine de memnun kaldım.",778
37,92389,33519,631,12,"İnternetten daha iyi bekliyordum.",27
53,38656,36657,619,14,"Ürünler kaliteli, ama fiyatlar yüksek.",774
26,35741,10826,615,23,"Hizmet çok iyi, teşekkürler.",369
55,46661,19857,659,14,"Güzel hizmet, ama daha iyi olabilir.",383
65,58690,26513,736,11,"Harika ürünler!",293
39,62833,27801,702,22,"Beklentilerimin altında.",663
19,87141,39846,660,10,"Hizmet çok iyi, teşekkürler.",478
41,69023,16798,703,10,"İnternetten daha iyi bekliyordum.",579
25,70209,33157,660,9,"Hizmet çok iyi, teşekkürler.",36
28,44440,38363,675,2,"Hizmet çok iyi, teşekkürler.",887
30,37960,27791,614,14,"Yine de memnun kaldım.",546
34,52462,15136,731,7,"Yeterli bir deneyim.",645
25,47821,35169,702,17,"Kaliteli, ama fiyat biraz yüksek.",877
38,87772,27421,674,24,"Beklentilerimin altında.",672
35,57258,36704,627,20,"Yeterli bir deneyim.",371
47,92524,37854,673,8,"Yeterli bir deneyim.",735
35,52115,22491,732,24,"Yeterli bir deneyim.",621
63,76433,17546,724,20,"İnternetten daha iyi bekliyordum.",101
64,70644,15903,655,4,"Beklentilerimin altında.",354
48,92643,23855,663,5,"Yeterli bir deneyim.",464
55,43311,26406,726,13,"Beklediğimden daha iyi.",693
49,60531,24949,720,7,"Beklediğimden daha iyi.",479
28,44588,19825,688,6,"Güzel hizmet, ama daha iyi olabilir.",909
62,79416,16287,616,17,"Yeterli bir deneyim.",658
42,42380,22193,696,6,"Yine de memnun kaldım.",215
50,72645,38775,654,19,"Hizmet çok iyi, teşekkürler.",998
55,47818,11405,736,3,"Güzel hizmet, ama daha iyi olabilir.",650
58,60857,19670,709,9,"Ürünler kaliteli, ama fiyatlar yüksek.",326
25,51711,32851,615,21,"Hizmet çok iyi, teşekkürler.",940
28,35097,27578,743,15,"Yine de memnun kaldım.",699
39,58393,18767,612,8,"Beklentilerimin altında.",599
68,52076,17923,677,23,"Güzel hizmet, ama daha iyi olabilir.",246
41,87609,11606,684,15,"Harika ürünler!",697
58,59317,38945,672,1,"Ürünler kaliteli, ama fiyatlar yüksek.",87
34,88480,18643,718,8,"İnternetten daha iyi bekliyordum.",333
29,37044,18316,667,23,"Kaliteli, ama fiyat biraz yüksek.",663
63,85486,21646,673,4,"İnternetten daha iyi bekliyordum.",778
49,85162,20556,698,22,"Yine de memnun kaldım.",199
32,59882,20058,716,10,"Beklentilerimin altında.",382
33,84078,16250,736,16,"Yeterli bir deneyim.",427
39,88734,11683,745,18,"Kaliteli, ama fiyat biraz yüksek.",334
45,73826,35482,737,4,"Yeterli bir deneyim.",757
37,74028,21726,714,8,"Yine de memnun kaldım.",449
50,81331,35005,653,4,"Beklentilerimin altında.",215
27,62543,29135,678,10,"Hizmet çok iyi, teşekkürler.",940
57,59362,33888,614,20,"Beklediğimden daha iyi.",585
49,57315,38401,738,4,"Hizmet çok iyi, teşekkürler.",671
67,57746,17663,717,16,"Hizmet çok iyi, teşekkürler.",254
50,40057,34937,711,12,"Ürünler kaliteli, ama fiyatlar yüksek.",528
19,72915,23083,705,10,"Hizmet çok iyi, teşekkürler.",504
50,51061,35007,704,11,"Harika ürünler!",437
50,81370,29106,646,2,"Güzel hizmet, ama daha iyi olabilir.",649
58,64157,32023,717,16,"İnternetten daha iyi bekliyordum.",469
30,41322,23146,725,23,"Beklediğimden daha iyi.",5
47,99812,21253,747,19,"Hizmet çok iyi, teşekkürler.",218
50,64017,25736,697,12,"Yine de memnun kaldım.",915
30,86792,13223,749,4,"Yine de memnun kaldım.",512
69,57742,15441,647,17,"Kaliteli, ama fiyat biraz yüksek.",575
43,94808,19822,681,12,"Yeterli bir deneyim.",720
39,47629,17381,615,16,"Harika ürünler!",512
56,38245,22863,732,3,"Harika ürünler!",868
19,73870,15184,673,2,"Ürünler kaliteli, ama fiyatlar yüksek.",188
55,94829,39564,620,7,"Hizmet çok iyi, teşekkürler.",974
56,40588,26653,660,6,"Kaliteli, ama fiyat biraz yüksek.",246
43,30442,34088,623,1,"Hizmet çok iyi, teşekkürler.",768
63,70721,32499,622,15,"Ürünler kaliteli, ama fiyatlar yüksek.",976
67,67145,19315,686,12,"Beklediğimden daha iyi.",685
32,40599,37752,738,13,"Harika ürünler!",620
51,32939,33682,601,8,"Güzel hizmet, ama daha iyi olabilir.",571
59,52149,37968,652,9,"İnternetten daha iyi bekliyordum.",554
61,96567,14533,738,1,"Beklentilerimin altında.",427
66,40208,27426,614,5,"Ürünler kaliteli, ama fiyatlar yüksek.",549
57,96098,24560,739,7,"Yeterli bir deneyim.",362
28,79492,11641,721,18,"İnternetten daha iyi bekliyordum.",769
20,50951,25925,722,22,"Yeterli bir deneyim.",593
23,78920,32987,691,8,"Harika ürünler!",395
26,76766,20633,622,24,"İnternetten daha iyi bekliyordum.",732
23,87014,13297,687,10,"Harika ürünler!",918
26,58351,33439,741,8,"Kaliteli, ama fiyat biraz yüksek.",622
56,79386,27767,698,12,"Beklediğimden daha iyi.",776
48,39308,13996,626,16,"Yine de memnun kaldım.",135
49,89252,10014,620,12,"Yeterli bir deneyim.",433
58,58064,24895,648,22,"Beklediğimden daha iyi.",847
67,83879,11674,643,22,"Ürünler kaliteli, ama fiyatlar yüksek.",317
29,38720,15099,643,3,"Güzel hizmet, ama daha iyi olabilir.",534
25,72940,30001,727,18,"İnternetten daha iyi bekliyordum.",500
25,98475,34483,622,5,"Beklediğimden daha iyi.",348
67,77113,32941,728,14,"Hizmet çok iyi, teşekkürler.",58
45,78926,31858,724,20,"Beklediğimden daha iyi.",777
37,68203,27864,635,21,"Ürünler kaliteli, ama fiyatlar yüksek.",139
64,35392,36321,654,16,"Kaliteli, ama fiyat biraz yüksek.",957
24,55905,34082,709,22,"Kaliteli, ama fiyat biraz yüksek.",892
28,80385,29430,615,6,"Güzel hizmet, ama daha iyi olabilir.",627
37,60653,17363,688,16,"Beklentilerimin altında.",203
33,44799,15957,617,20,"Güzel hizmet, ama daha iyi olabilir.",157
21,90103,14210,637,14,"İnternetten daha iyi bekliyordum.",329
23,45052,25776,619,20,"Yeterli bir deneyim.",973
39,36044,31855,618,24,"Yeterli bir deneyim.",195
43,49871,27359,612,5,"Beklediğimden daha iyi.",430
20,50234,28069,616,14,"Yeterli bir deneyim.",723
58,51381,12083,629,11,"Beklentilerimin altında.",552
59,47274,36865,642,21,"Yine de memnun kaldım.",870
31,79892,28070,647,9,"Kaliteli, ama fiyat biraz yüksek.",518
28,80521,14158,642,20,"Beklediğimden daha iyi.",861
35,47920,33193,692,7,"İnternetten daha iyi bekliyordum.",883
29,46702,35084,713,5,"Beklediğimden daha iyi.",616
40,31894,26571,665,15,"Harika ürünler!",471
29,60985,12782,718,13,"Harika ürünler!",457
30,58287,30572,652,12,"Harika ürünler!",819
42,45439,14100,671,24,"Beklentilerimin altında.",44
62,72235,21701,677,15,"Yeterli bir deneyim.",37
68,57659,25525,673,24,"Hizmet çok iyi, teşekkürler.",675
36,54976,38093,671,19,"Beklediğimden daha iyi.",592
63,97865,28456,612,24,"Hizmet çok iyi, teşekkürler.",340
53,98306,33035,658,19,"Beklentilerimin altında.",569
62,86697,10097,631,10,"Kaliteli, ama fiyat biraz yüksek.",301
25,46651,19483,682,17,"Beklediğimden daha iyi.",634
46,79044,33189,719,16,"Beklentilerimin altında.",706
49,44633,13464,653,5,"Yeterli bir deneyim.",192
68,30569,11787,601,4,"Kaliteli, ama fiyat biraz yüksek.",913
61,89900,17763,717,24,"Yeterli bir deneyim.",897
35,97509,31788,636,22,"Beklentilerimin altında.",615
23,63038,10683,696,10,"İnternetten daha iyi bekliyordum.",623
35,79088,26092,702,21,"Kaliteli, ama fiyat biraz yüksek.",131
36,96793,11132,713,6,"Ürünler kaliteli, ama fiyatlar yüksek.",607
39,68138,22314,600,11,"Kaliteli, ama fiyat biraz yüksek.",594
54,93310,15877,727,11,"Yeterli bir deneyim.",467
49,58757,32582,702,16,"Beklediğimden daha iyi.",169
58,86151,37780,744,14,"Beklediğimden daha iyi.",560
20,79272,37699,656,19,"Beklediğimden daha iyi.",944
45,36908,30220,669,22,"Hizmet çok iyi, teşekkürler.",884
27,40844,23068,643,4,"Kaliteli, ama fiyat biraz yüksek.",646
68,81455,24633,740,5,"Ürünler kaliteli, ama fiyatlar yüksek.",264
52,98447,25758,675,22,"Hizmet çok iyi, teşekkürler.",198
46,73066,36190,684,19,"Harika ürünler!",282
32,70004,27425,665,17,"Yeterli bir deneyim.",404
50,68333,21057,652,18,"Yeterli bir deneyim.",546
24,69697,32273,617,8,"Güzel hizmet, ama daha iyi olabilir.",855
29,47634,10854,627,4,"İnternetten daha iyi bekliyordum.",479
66,54561,15738,731,23,"Kaliteli, ama fiyat biraz yüksek.",203
47,48033,12026,641,18,"Ürünler kaliteli, ama fiyatlar yüksek.",470
38,85063,36563,725,11,"Harika ürünler!",931
48,55921,15365,716,14,"Kaliteli, ama fiyat biraz yüksek.",752
41,49340,12550,733,13,"Hizmet çok iyi, teşekkürler.",348
37,92781,39784,701,24,"Ürünler kaliteli, ama fiyatlar yüksek.",834
54,44901,17089,736,16,"Kaliteli, ama fiyat biraz yüksek.",42
21,40638,26623,747,12,"Kaliteli, ama fiyat biraz yüksek.",775
45,68596,26873,637,9,"Yine de memnun kaldım.",481
61,74324,22043,649,7,"Harika ürünler!",376
37,62642,11036,659,10,"Kaliteli, ama fiyat biraz yüksek.",77
41,55378,35914,740,17,"Hizmet çok iyi, teşekkürler.",35
67,80867,32516,718,18,"Beklentilerimin altında.",382
66,72875,31164,698,7,"Beklediğimden daha iyi.",815
68,94377,34293,693,3,"Kaliteli, ama fiyat biraz yüksek.",173
49,84691,29653,667,15,"İnternetten daha iyi bekliyordum.",927
58,94303,16122,739,16,"Beklentilerimin altında.",646
53,90839,24578,663,21,"Yine de memnun kaldım.",329
51,79063,37130,678,17,"Harika ürünler!",651
53,35492,25689,652,13,"Kaliteli, ama fiyat biraz yüksek.",54
19,61357,26150,625,3,"Güzel hizmet, ama daha iyi olabilir.",763
32,62314,32094,737,20,"Yine de memnun kaldım.",999
51,78697,21692,739,20,"Harika ürünler!",278
53,89567,22054,749,23,"Hizmet çok iyi, teşekkürler.",458
23,77006,11767,620,5,"Yeterli bir deneyim.",691
56,90011,14708,670,9,"İnternetten daha iyi bekliyordum.",524
59,40686,18353,681,23,"Beklentilerimin altında.",715
68,67449,35231,659,18,"İnternetten daha iyi bekliyordum.",454
68,91606,29390,698,11,"Yine de memnun kaldım.",820
29,48891,39292,646,11,"İnternetten daha iyi bekliyordum.",574
20,82115,38082,742,16,"Beklediğimden daha iyi.",491
62,90719,11256,623,8,"Kaliteli, ama fiyat biraz yüksek.",73
35,66723,36734,609,2,"Hizmet çok iyi, teşekkürler.",454
57,59877,20143,719,23,"Harika ürünler!",818
38,44026,33461,687,21,"Beklentilerimin altında.",953
32,50422,15351,703,10,"Beklediğimden daha iyi.",154
50,39244,24263,723,6,"Yine de memnun kaldım.",518
52,63481,10749,633,4,"Beklediğimden daha iyi.",374
43,88031,27092,640,21,"Yeterli bir deneyim.",305
25,38521,16416,610,5,"Hizmet çok iyi, teşekkürler.",919
53,31746,36197,600,23,"Beklediğimden daha iyi.",342
65,98232,16950,681,11,"İnternetten daha iyi bekliyordum.",664
47,42012,22328,625,12,"Yeterli bir deneyim.",43
40,53457,39231,652,16,"Beklentilerimin altında.",547
59,59960,35041,724,20,"Hizmet çok iyi, teşekkürler.",440
61,37910,38571,608,21,"Beklediğimden daha iyi.",96
31,32693,35676,608,14,"Yeterli bir deneyim.",164
31,45858,11713,728,14,"Beklediğimden daha iyi.",745
19,58810,22777,658,20,"Yeterli bir deneyim.",102
54,50092,34320,705,20,"Ürünler kaliteli, ama fiyatlar yüksek.",435
22,78700,18308,724,15,"Kaliteli, ama fiyat biraz yüksek.",380
55,88105,20673,615,8,"Hizmet çok iyi, teşekkürler.",446
62,60505,25378,637,5,"Yine de memnun kaldım.",6
58,58555,25329,738,9,"Yine de memnun kaldım.",93
64,47939,23882,658,21,"Ürünler kaliteli, ama fiyatlar yüksek.",443
31,41825,26579,628,16,"Beklediğimden daha iyi.",478
56,54151,14714,607,24,"Ürünler kaliteli, ama fiyatlar yüksek.",632
42,30036,36050,697,3,"Yine de memnun kaldım.",876
37,69051,20664,733,12,"Ürünler kaliteli, ama fiyatlar yüksek.",493
19,90071,25753,708,7,"Ürünler kaliteli, ama fiyatlar yüksek.",36
56,59873,39979,707,17,"Yine de memnun kaldım.",532
23,66648,22321,748,15,"Hizmet çok iyi, teşekkürler.",97
34,56470,24630,656,15,"Yeterli bir deneyim.",813
42,95129,37630,675,12,"Hizmet çok iyi, teşekkürler.",20
45,38328,27658,712,21,"Yeterli bir deneyim.",231
19,36333,13709,605,2,"Beklediğimden daha iyi.",467
52,76638,10338,723,8,"Ürünler kaliteli, ama fiyatlar yüksek.",353
54,41268,16761,733,22,"Ürünler kaliteli, ama fiyatlar yüksek.",71
22,47045,29895,652,5,"Güzel hizmet, ama daha iyi olabilir.",351
18,70741,14275,731,3,"Kaliteli, ama fiyat biraz yüksek.",51
57,72770,39293,608,1,"Beklediğimden daha iyi.",221
29,37887,21491,668,16,"İnternetten daha iyi bekliyordum.",796
53,54918,28040,673,10,"İnternetten daha iyi bekliyordum.",324
62,65497,16762,710,10,"Yeterli bir deneyim.",989
40,91009,18834,686,11,"Beklentilerimin altında.",459
64,41929,24358,603,12,"Ürünler kaliteli, ama fiyatlar yüksek.",166
48,91762,19872,636,8,"Harika ürünler!",282
28,58546,35926,670,5,"Ürünler kaliteli, ama fiyatlar yüksek.",500
27,67338,31657,605,9,"Güzel hizmet, ama daha iyi olabilir.",716
20,64283,35194,650,11,"Yeterli bir deneyim.",366
31,76566,27553,698,15,"Hizmet çok iyi, teşekkürler.",649
33,58013,34827,695,23,"Ürünler kaliteli, ama fiyatlar yüksek.",35
27,82132,18173,741,17,"Hizmet çok iyi, teşekkürler.",606
46,58084,26685,610,11,"Yine de memnun kaldım.",527
27,51143,21333,609,13,"Yine de memnun kaldım.",998
29,44179,27950,612,17,"Beklediğimden daha iyi.",748
47,88726,21356,720,23,"Ürünler kaliteli, ama fiyatlar yüksek.",675
58,40222,17816,659,7,"Beklediğimden daha iyi.",601
18,89965,22149,604,9,"Ürünler kaliteli, ama fiyatlar yüksek.",619
22,94068,28594,611,18,"Beklentilerimin altında.",595
37,53949,21344,740,23,"Güzel hizmet, ama daha iyi olabilir.",254
25,46116,26187,684,18,"Kaliteli, ama fiyat biraz yüksek.",929
60,81052,21851,716,10,"Kaliteli, ama fiyat biraz yüksek.",676
29,81369,17230,721,12,"Yine de memnun kaldım.",199
18,78817,18803,640,18,"Yine de memnun kaldım.",835
37,59655,25795,647,21,"Harika ürünler!",826
45,87802,39743,650,9,"Beklediğimden daha iyi.",668
60,77632,32972,717,9,"Yine de memnun kaldım.",30
54,44193,11943,695,10,"Yine de memnun kaldım.",577
64,60776,34649,675,1,"Harika ürünler!",600
54,73225,37449,645,11,"Güzel hizmet, ama daha iyi olabilir.",485
29,90010,24015,699,14,"İnternetten daha iyi bekliyordum.",258
54,95451,31021,637,23,"Yeterli bir deneyim.",252
66,78812,18348,691,10,"Hizmet çok iyi, teşekkürler.",493
66,48895,21750,740,14,"Güzel hizmet, ama daha iyi olabilir.",233
61,95782,15385,749,19,"Beklentilerimin altında.",106
45,51209,26639,729,10,"Harika ürünler!",580
64,91807,29494,692,17,"Beklediğimden daha iyi.",789
32,53086,19243,676,2,"Beklentilerimin altında.",335
23,57207,26273,612,22,"İnternetten daha iyi bekliyordum.",712
61,50897,15032,656,14,"Hizmet çok iyi, teşekkürler.",52
37,93083,16261,746,18,"Hizmet çok iyi, teşekkürler.",943
67,96957,28801,736,2,"Yine de memnun kaldım.",968
31,37283,28640,715,20,"Ürünler kaliteli, ama fiyatlar yüksek.",752
19,30255,12634,694,19,"Yeterli bir deneyim.",843
26,45487,37472,729,24,"Ürünler kaliteli, ama fiyatlar yüksek.",686
54,49346,11891,678,8,"Harika ürünler!",41
37,65050,38259,656,6,"Güzel hizmet, ama daha iyi olabilir.",259
43,38744,38987,694,20,"Kaliteli, ama fiyat biraz yüksek.",368
46,54756,29848,656,7,"Yine de memnun kaldım.",209
18,91596,20683,743,13,"Beklediğimden daha iyi.",465
52,55146,38315,706,2,"Harika ürünler!",41
23,85032,19967,678,22,"Beklentilerimin altında.",938
54,72687,22128,733,7,"İnternetten daha iyi bekliyordum.",352
22,76103,17426,613,1,"Beklentilerimin altında.",681
50,51976,11970,626,6,"Harika ürünler!",893
66,92863,38295,637,16,"İnternetten daha iyi bekliyordum.",258
68,30591,30337,746,8,"Hizmet çok iyi, teşekkürler.",954
31,36277,39893,726,13,"Beklentilerimin altında.",997
29,91860,32202,603,23,"Ürünler kaliteli, ama fiyatlar yüksek.",336
59,32260,16771,657,18,"Harika ürünler!",715
37,95883,20684,736,14,"Harika ürünler!",394
67,54741,22857,712,18,"Ürünler kaliteli, ama fiyatlar yüksek.",848
41,67211,33132,742,4,"Kaliteli, ama fiyat biraz yüksek.",674
60,71542,31387,603,15,"Kaliteli, ama fiyat biraz yüksek.",104
51,36869,27032,651,5,"Güzel hizmet, ama daha iyi olabilir.",689
42,94732,19832,745,21,"Yeterli bir deneyim.",702
67,49422,24640,698,14,"Ürünler kaliteli, ama fiyatlar yüksek.",123
46,65613,22626,692,16,"Hizmet çok iyi, teşekkürler.",709
56,87016,35104,716,15,"Beklediğimden daha iyi.",98
48,90110,28485,603,11,"Beklediğimden daha iyi.",5
64,64033,23423,684,2,"Hizmet çok iyi, teşekkürler.",799
60,75213,26802,606,23,"Beklentilerimin altında.",266
67,91993,26333,724,24,"Beklediğimden daha iyi.",42
40,42938,12352,684,18,"Hizmet çok iyi, teşekkürler.",806
61,32274,38085,662,4,"Ürünler kaliteli, ama fiyatlar yüksek.",652
55,61815,32159,722,15,"Yine de memnun kaldım.",268
37,48961,34660,688,12,"Güzel hizmet, ama daha iyi olabilir.",550
40,50044,34075,694,3,"Yeterli bir deneyim.",941
62,51975,36875,718,4,"Beklentilerimin altında.",673
69,44706,11751,643,21,"Hizmet çok iyi, teşekkürler.",194
33,35974,38797,701,16,"Ürünler kaliteli, ama fiyatlar yüksek.",927
67,51213,29041,644,6,"Beklentilerimin altında.",323
59,31950,22167,716,2,"Harika ürünler!",615
25,40411,32507,650,22,"Yeterli bir deneyim.",756
67,76156,15524,664,9,"Ürünler kaliteli, ama fiyatlar yüksek.",64
38,92744,28735,653,12,"Kaliteli, ama fiyat biraz yüksek.",200
18,47771,34455,671,12,"Yine de memnun kaldım.",880
25,99810,37675,719,24,"Beklentilerimin altında.",241
46,65053,25183,742,14,"Kaliteli, ama fiyat biraz yüksek.",6
49,82076,27673,618,17,"İnternetten daha iyi bekliyordum.",218
55,37045,21315,609,9,"İnternetten daha iyi bekliyordum.",2
22,87623,12702,615,12,"Beklediğimden daha iyi.",853
64,59714,18835,707,10,"Yeterli bir deneyim.",463
39,64386,29289,615,11,"Güzel hizmet, ama daha iyi olabilir.",967
64,38562,24542,679,2,"İnternetten daha iyi bekliyordum.",964
51,85048,22259,627,16,"Güzel hizmet, ama daha iyi olabilir.",304
18,42026,38639,747,1,"Beklentilerimin altında.",313
43,61589,31053,608,22,"Beklentilerimin altında.",477
60,56844,12922,703,1,"Hizmet çok iyi, teşekkürler.",795
27,53447,16654,737,22,"Yeterli bir deneyim.",882
47,84708,12021,644,2,"Yine de memnun kaldım.",410
67,93925,23955,708,12,"Harika ürünler!",497
35,81574,30008,742,23,"Ürünler kaliteli, ama fiyatlar yüksek.",533
34,48812,32728,629,23,"İnternetten daha iyi bekliyordum.",605
43,85309,34162,647,20,"Yine de memnun kaldım.",356
25,94230,37446,690,18,"Hizmet çok iyi, teşekkürler.",70
64,71628,39979,690,12,"Ürünler kaliteli, ama fiyatlar yüksek.",881
57,70581,25716,673,23,"Yeterli bir deneyim.",733
66,76628,21310,643,1,"Ürünler kaliteli, ama fiyatlar yüksek.",12
29,55105,26520,733,11,"Kaliteli, ama fiyat biraz yüksek.",405
44,99157,14225,716,2,"Kaliteli, ama fiyat biraz yüksek.",970
25,62442,35794,623,12,"Harika ürünler!",516
42,32347,19209,606,2,"Ürünler kaliteli, ama fiyatlar yüksek.",21
63,77650,21892,605,17,"Yeterli bir deneyim.",974
21,47110,25723,717,6,"Yine de memnun kaldım.",894
50,92170,22719,684,16,"Harika ürünler!",308
18,34923,13140,709,19,"Güzel hizmet, ama daha iyi olabilir.",294
36,81801,21721,744,6,"Hizmet çok iyi, teşekkürler.",548
48,92771,12587,630,7,"Ürünler kaliteli, ama fiyatlar yüksek.",30
33,78135,20574,738,19,"Beklentilerimin altında.",61
31,49199,16669,732,20,"İnternetten daha iyi bekliyordum.",220
65,39066,28989,663,17,"Beklediğimden daha iyi.",358
22,82136,15004,675,6,"Ürünler kaliteli, ama fiyatlar yüksek.",592
58,66575,37663,730,15,"Güzel hizmet, ama daha iyi olabilir.",382
43,76733,24301,655,22,"Ürünler kaliteli, ama fiyatlar yüksek.",744
45,46991,38103,662,9,"Yeterli bir deneyim.",517
19,52553,37133,704,2,"Kaliteli, ama fiyat biraz yüksek.",616
67,30634,18400,637,5,"Yine de memnun kaldım.",336
23,42771,17504,653,21,"Yine de memnun kaldım.",161
26,48298,13810,729,23,"Beklentilerimin altında.",854
50,65999,16080,601,5,"Hizmet çok iyi, teşekkürler.",563
58,89648,17408,739,12,"Beklentilerimin altında.",157
42,92668,14153,639,10,"Hizmet çok iyi, teşekkürler.",12
65,99374,36583,601,4,"Kaliteli, ama fiyat biraz yüksek.",185
30,97509,21055,704,12,"Yeterli bir deneyim.",733
26,74440,29760,724,15,"İnternetten daha iyi bekliyordum.",752
30,61655,27752,679,10,"Beklediğimden daha iyi.",308
48,73039,34193,646,18,"Hizmet çok iyi, teşekkürler.",147
58,85255,13800,731,24,"Beklediğimden daha iyi.",901
28,84989,11037,690,5,"Yine de memnun kaldım.",54
21,41244,39048,700,13,"Yine de memnun kaldım.",926
51,88595,36866,729,4,"Kaliteli, ama fiyat biraz yüksek.",570
55,69551,10992,614,9,"Güzel hizmet, ama daha iyi olabilir.",914
63,93230,33696,648,18,"Beklediğimden daha iyi.",709
21,58371,37514,711,3,"Hizmet çok iyi, teşekkürler.",609
55,99358,14510,634,24,"Beklediğimden daha iyi.",667
36,58878,10393,715,11,"Yeterli bir deneyim.",761
23,66157,18005,693,4,"Güzel hizmet, ama daha iyi olabilir.",908
51,35914,30070,623,9,"Kaliteli, ama fiyat biraz yüksek.",691
35,57180,39400,659,12,"Güzel hizmet, ama daha iyi olabilir.",509
30,33688,26741,676,10,"Harika ürünler!",585
58,39916,30388,647,10,"Beklediğimden daha iyi.",572
40,86363,27565,739,9,"Beklediğimden daha iyi.",936
36,57360,16817,640,10,"Yine de memnun kaldım.",44
62,67805,12065,727,9,"Kaliteli, ama fiyat biraz yüksek.",646
28,43453,33255,630,1,"Beklediğimden daha iyi.",721
18,52703,22094,748,22,"Beklentilerimin altında.",85
41,89021,23879,623,16,"Beklentilerimin altında.",781
24,37410,21610,608,14,"Yeterli bir deneyim.",291
42,78268,29513,749,13,"Beklediğimden daha iyi.",263
38,64248,10154,731,6,"Hizmet çok iyi, teşekkürler.",267
32,61159,38134,676,14,"Güzel hizmet, ama daha iyi olabilir.",935
18,72039,19746,730,8,"Yine de memnun kaldım.",224
29,77800,18678,719,23,"Kaliteli, ama fiyat biraz yüksek.",215
24,70761,16294,689,23,"Hizmet çok iyi, teşekkürler.",873
32,73663,19574,716,18,"Güzel hizmet, ama daha iyi olabilir.",230
38,70412,12415,709,20,"Beklediğimden daha iyi.",701
36,65367,25979,720,1,"Hizmet çok iyi, teşekkürler.",653
46,35813,11070,697,12,"Harika ürünler!",176
42,89894,28638,614,11,"Hizmet çok iyi, teşekkürler.",562
50,81444,34426,735,13,"Beklentilerimin altında.",701
66,64269,24785,651,23,"Beklediğimden daha iyi.",516
49,91748,36082,654,4,"İnternetten daha iyi bekliyordum.",722
66,71190,26306,636,6,"Hizmet çok iyi, teşekkürler.",706
52,70318,20067,731,22,"Kaliteli, ama fiyat biraz yüksek.",512
61,67018,39595,654,13,"Harika ürünler!",103
55,69759,17807,611,24,"Beklediğimden daha iyi.",872
43,46498,33224,746,22,"Hizmet çok iyi, teşekkürler.",100
28,55989,33097,636,13,"Ürünler kaliteli, ama fiyatlar yüksek.",639
52,55568,28574,606,6,"Harika ürünler!",864
25,96577,33648,654,22,"İnternetten daha iyi bekliyordum.",304
63,60099,35646,627,4,"Ürünler kaliteli, ama fiyatlar yüksek.",760
31,70639,34766,636,21,"Harika ürünler!",912
27,53482,34715,674,3,"Yine de memnun kaldım.",968
19,99212,39286,713,15,"Kaliteli, ama fiyat biraz yüksek.",350
63,85261,17398,705,11,"Güzel hizmet, ama daha iyi olabilir.",802
26,60048,22202,709,2,"Harika ürünler!",450
20,33065,37987,683,23,"İnternetten daha iyi bekliyordum.",268
38,32036,12972,610,17,"Yeterli bir deneyim.",371
43,65814,27898,665,23,"Güzel hizmet, ama daha iyi olabilir.",932
25,89694,21312,612,2,"Beklediğimden daha iyi.",37
65,46924,30354,614,21,"Harika ürünler!",845
19,90204,31103,655,1,"Güzel hizmet, ama daha iyi olabilir.",901
23,62844,38100,652,5,"Hizmet çok iyi, teşekkürler.",761
45,51518,23627,660,20,"Harika ürünler!",732
46,47059,11345,727,17,"Ürünler kaliteli, ama fiyatlar yüksek.",62
43,53052,38758,641,1,"İnternetten daha iyi bekliyordum.",764
42,99803,28301,628,7,"Beklentilerimin altında.",504
29,38680,17641,643,3,"Beklentilerimin altında.",944
22,97021,38953,732,16,"İnternetten daha iyi bekliyordum.",264
51,50043,38486,712,16,"Yeterli bir deneyim.",675
65,32419,25099,705,12,"İnternetten daha iyi bekliyordum.",534
54,86892,23385,637,9,"Hizmet çok iyi, teşekkürler.",78
32,47140,18644,714,14,"İnternetten daha iyi bekliyordum.",629
61,73484,38718,729,12,"İnternetten daha iyi bekliyordum.",184
53,93869,11611,708,16,"Güzel hizmet, ama daha iyi olabilir.",945
32,75210,37743,683,17,"Beklediğimden daha iyi.",494
60,87600,28462,645,12,"Beklentilerimin altında.",570
65,36487,20773,691,4,"Yeterli bir deneyim.",369
40,90692,28448,704,17,"Güzel hizmet, ama daha iyi olabilir.",902
23,92112,33763,671,1,"Beklentilerimin altında.",814
63,61110,15779,738,21,"Beklediğimden daha iyi.",763
67,46360,19450,628,17,"İnternetten daha iyi bekliyordum.",600
61,79410,39063,646,11,"Beklediğimden daha iyi.",740
60,33017,17150,710,19,"Beklentilerimin altında.",854
62,90124,26737,606,23,"Yine de memnun kaldım.",330
38,80949,22592,716,18,"Harika ürünler!",439
40,88268,32102,663,20,"Harika ürünler!",237
60,96320,23861,681,2,"Ürünler kaliteli, ama fiyatlar yüksek.",903
33,61127,30020,663,9,"Hizmet çok iyi, teşekkürler.",291
64,33196,19755,691,9,"Beklediğimden daha iyi.",425
32,71300,32428,611,12,"İnternetten daha iyi bekliyordum.",294
42,79714,10711,611,13,"Beklediğimden daha iyi.",832
